iteration	bootstrap_eligible_genes	selected_complete_pattern_genes	frozen_37_selected	natural_design_attempts
487	10589	46	28	1
488	10589	32	27	1
489	10589	45	24	1
490	10589	45	24	1
491	10589	26	11	1
492	10589	26	11	1
493	10589	45	24	1
494	10589	32	13	1
495	10589	40	34	1
496	10589	35	30	1
497	10589	31	15	1
498	10589	34	22	1
499	10589	47	31	3
500	10589	39	26	1
501	10589	34	13	1
502	10589	20	9	1
503	10589	37	13	1
504	10589	32	13	1
505	10589	30	12	3
506	10589	35	22	1
507	10589	41	25	1
508	10589	36	26	1
509	10589	51	29	2
510	10589	42	23	1
511	10589	43	12	1
512	10589	55	23	1
513	10589	39	25	1
514	10589	39	33	1
515	10589	41	25	1
516	10589	41	29	1
517	10589	38	31	3
518	10589	40	27	1
519	10589	39	16	2
520	10589	21	12	1
521	10589	47	30	1
522	10589	43	22	1
523	10589	51	29	1
524	10589	49	26	2
525	10589	36	23	2
526	10589	39	24	1
527	10589	38	31	1
528	10589	40	34	1
529	10589	60	27	1
530	10589	34	13	1
531	10589	38	13	1
532	10589	42	23	2
533	10589	45	24	1
534	10589	36	14	1
535	10589	43	26	4
536	10589	29	18	1
537	10589	37	31	1
538	10589	45	28	1
539	10589	32	12	2
540	10589	36	15	1
541	10589	45	24	1
542	10589	35	13	1
543	10589	32	12	1
544	10589	40	20	1
545	10589	27	9	1
546	10589	34	23	1
547	10589	41	28	1
548	10589	27	10	1
549	10589	32	13	2
550	10589	36	30	2
551	10589	40	34	1
552	10589	46	23	1
553	10589	41	25	1
554	10589	24	21	1
555	10589	39	16	2
556	10589	44	32	5
557	10589	44	32	2
558	10589	50	21	1
559	10589	38	27	1
560	10589	29	11	2
561	10589	34	25	1
562	10589	36	23	2
563	10589	44	24	1
564	10589	44	32	1
565	10589	38	31	1
566	10589	35	14	1
567	10589	37	11	2
568	10589	34	28	1
569	10589	37	22	2
570	10589	40	13	1
571	10589	25	9	1
572	10589	33	12	2
573	10589	34	22	1
574	10589	24	17	2
575	10589	34	22	3
576	10589	38	31	1
577	10589	37	26	1
